Sortie des chapitre annuellement;;;Nombre d'‚pisode One piece publier chaque ann‚es;
Ann‚e;Chapitres;;;
1997;1 … 8;;;
1998;9 … 21;;Ann‚e;Nombre d'‚pisodes diffus‚s
1999;22 … 44;;1999;13
2000;45 … 69;;2000;61
2001;70 … 95;;2001;32
2002;96 … 122;;2002;51
2003;123 … 154;;2003;41
2004;155 … 186;;2004;52
2005;187 … 218;;2005;63
2006;219 … 254;;2006;53
2007;255 … 290;;2007;51
2008;291 … 325;;2008;53
2009;326 … 357;;2009;54
2010;358 … 391;;2010;57
2011;392 … 441;;2011;52
2012;442 … 490;;2012;51
2013;491 … 541;;2013;45
2014;542 … 597;;2014;51
2015;598 … 651;;2015;52
2016;652 … 704;;2016;52
2017;705 … 757;;2017;48
2018;758 … 907;;2018;49
2019;908 … 959;;2019;51
2020;960 … 1008;;2020;53
2021;1009 … 1068;;2021;49
