No,Villages,Iles,Description
1,Foosha Village,Dawn Island,"Foosha Village (literally meaning ""Windmill Village"") is a little port village that is located on Dawn Island and is part of Goa Kingdom. It is the first setting of the Romance Dawn Arc, and is where the story of One Piece starts from."
2,Arybda's Fortress,Goat Island,"While being chased by the Marines, Luffy and his crew get lost in the fog and discover an uncharted island. They find that the island is inhabited only by an old man named Zenny and a multitude of goats. They also find a partially constructed ship on the top of the island. The Straw Hat Pirates help the old man out while hiding from the Marines led by Moore and Minchey and working to get his ship into the water."
3,Shells Town,Shells Island,Shells Town is the third setting of the Romance Dawn Arc. It is located in the Yotsuba Island Region (ヨツバ島海域 Yotsuba-tō Kaiiki?) of East Blue. Shells Town is covered with power plant-shaped towers that shoot cannons.
4,Orange town,Orange Island,"Orange Town is a 42-year old village where the Straw Hat Pirates visited during the Orange Town Arc. Its mayor is Boodle, who is also one of its founders."
5,Island of rare animals,Island of rare animals,"The Island of Rare Animals is an island in the East Blue populated by bizarre ""hybrid"" animals. It is currently known to have only two human inhabitants: Gaimon and Sarfunkel."
6,Syrup village,Gecko islands,"Syrup Village is the birthplace of Usopp, and is a peaceful area. The village is located on the Gecko Islands.
This is the main location of the Syrup Village Arc."
7,Baratie,Baratie,"The Baratie is an ocean-going restaurant run by Zeff. It is located in the Sambas Region (サンバス海域 Sanbasu Kaiiki?) of the East Blue, close to the entrance of the Grand Line. It is the setting of the Baratie Arc."
8,Gosa village,Conomi Islands,"As the village was unable to completely pay the monthly tribute to Arlong, all the buildings in the village were literally flipped over by Momoo, a giant sea cow owned by the Arlong Pirates two to three weeks before Roronoa Zoro, Johnny, and Usopp arrived there. The only known citizen is Chabo."
9,Cocoyasi Village,Conomi Islands,"Cocoyasi Village is the village on Conomi Islands where Nami, as well as her sister, Nojiko, grew up with Bell-mère. The village is also the closest place to Arlong Park, and this is where the majority of important characters from the arc lives, including Nami."
10,Arlong Park,Conomi Islands,"Arlong Park was the Arlong Pirates' base of operations. It was located on Conomi Islands. This building, boasting several stories and their Jolly Roger at the top, was conspicuously placed at the coast to show that they had no fear of the law. The entire building was destroyed by Luffy's Gomu Gomu no Ono, smashing Arlong through five stories downwards."
11,Loguetown,Polestar islands,"Loguetown is a city on the Polestar Islands (ポルスター諸島 Porusutā Shotō?) in East Blue, covering nearly the entire island it is on, save for a few steep hills. The town is also known as ""The town of the beginning and the end"", because the former Pirate King Gol D. Roger was born and executed here. It is the main setting of the Loguetown Arc."
12,Twin's cap,Twin's cap,"Twin Cape is located at the bottom of Reverse Mountain, at the exit that leads into Paradise. The area is located precisely where the Red Line and the Grand Line meet. From here, sailors can choose one of the seven routes of the Grand Line by waiting for the Log Pose to set on the desired one."
